headline_raw,datetime_myt,prob_positive,prob_negative,score
"U.S. S&P 500 E-MINI FUTURES UP 0.1%, NASDAQ 100 FUTURES FLAT, DOW FUTURES UP 0.1%",2026-05-29 16:01:09,0.37834933400154114,0.5411328673362732,-0.16278353333473206
"S&P 500 E-MINI FUTURES UP 0.2%, NASDAQ 100 FUTURES UP 0.3%, DOW FUTURES UP 0.1%",2026-06-01 16:05:29,0.7685312628746033,0.09701978415250778,0.6715114787220955
U.S. STOCK INDEX FUTURES DOWN 0.1%,2026-06-02 16:00:46,0.010774008929729462,0.9620488286018372,-0.9512748196721077
"S&P 500 E-MINI FUTURES DOWN 0.1%, NASDAQ 100 FUTURES FLAT, DOW FUTURES DOWN 0.3% Wall St ends modestly higher as AI zeal overcomes Middle East jitters US STOCKS",2026-06-03 16:00:47,0.022931521758437157,0.9490780830383301,-0.9261465612798929
Wall St futures pause near record highs as oil climbs on Middle East stalemate US STOCKS,2026-06-03 16:46:20,0.0754777118563652,0.8054561018943787,-0.7299783900380135
"S&P 500 E-MINI FUTURES DOWN 0.26%, NASDAQ 100 FUTURES DOWN 0.49%, DOW FUTURES UP 0.20%",2026-06-04 16:00:41,0.008651914075016975,0.9649459719657898,-0.9562940578907728
"S&P 500 E-MINI FUTURES DOWN 0.6%, NASDAQ 100 FUTURES DOWN 1.13%, DOW FUTURES FLAT",2026-06-05 16:00:46,0.00864505022764206,0.9660770297050476,-0.9574319794774055
"S&P 500 E-MINI FUTURES UP 0.3%, NASDAQ FUTURES UP 0.7%, DOW FUTURES DOWN 0.2%",2026-06-08 16:01:19,0.32466554641723633,0.5570576190948486,-0.2323920726776123
"U.S. S&P 500 E-MINI FUTURES UP 0.22%, NASDAQ 100 FUTURES UP 0.46%, DOW FUTURES UP 0.04%",2026-06-09 16:01:01,0.7618309259414673,0.10281392931938171,0.6590169966220856
"U.S. S&P 500 E-MINI FUTURES DOWN 0.35%, NASDAQ 100 FUTURES DOWN 0.52%, DOW FUTURES DOWN 0.31%",2026-06-10 16:00:38,0.007951960898935795,0.9663813710212708,-0.958429410122335
"U.S. S&P 500 E-MINI FUTURES FLAT, NASDAQ 100 FUTURES DOWN 0.1%, DOW FUTURES UP 0.2%",2026-06-12 16:01:37,0.012442706152796745,0.9637414813041687,-0.951298775151372
"RUSSELL 2000 FUTURES UP 1.7% U.S. S&P 500 E-MINI FUTURES UP 1.3%, NASDAQ 100 FUTURES UP 1.9%, DOW FUTURES UP 1% Wall Street ends higher as SpaceX's market debut dominates US STOCKS",2026-06-15 13:59:24,0.9278239011764526,0.030858250334858894,0.8969656508415937
"CBOE VOLATILITY INDEX FALLS TO OVER ONE-WEEK LOW, LAST DOWN 0.89 POINTS AT 16.79",2026-06-15 16:02:34,0.007655967026948929,0.9706279039382935,-0.9629719369113445
Wall St. futures advance over 1% as markets cheer Iran deal US STOCKS,2026-06-15 16:22:21,0.8504142165184021,0.04655512049794197,0.8038590960204601
"S&P 500 E-MINI FUTURES FLAT, NASDAQ 100 FUTURES DOWN 0.1%, DOW FUTURES UP 0.2%",2026-06-16 16:00:50,0.011323180049657822,0.9638628363609314,-0.9525396563112736
"S&P 500 E-MINI FUTURES UP 0.27%, NASDAQ 100 FUTURES UP 0.84%, DOW FUTURES FLAT",2026-06-17 16:00:29,0.6613354682922363,0.1584731936454773,0.502862274646759
"U.S. S&P 500 E-MINI FUTURES ADD 0.9%, NASDAQ 100 FUTURES RISE 1.47%, DOW FUTURES UP 0.56%",2026-06-18 16:00:42,0.7919262051582336,0.06849407404661179,0.7234321311116219
"U.S. S&P 500 E-MINI FUTURES DOWN 0.1%, NASDAQ 100 FUTURES UP 0.1%, DOW FUTURES DOWN 0.1%",2026-06-22 16:00:39,0.009660663083195686,0.963596761226654,-0.9539360981434584
"U.S. S&P 500 E-MINI FUTURES DOWN 1%, NASDAQ 100 FUTURES DOWN 1.9%, DOW FUTURES DOWN 0.3%",2026-06-23 14:11:07,0.00800134614109993,0.9671344757080078,-0.9591331295669079
"Nasdaq futures fall 2% on tech worries, Fed hike bets US STOCKS",2026-06-23 15:59:33,0.02271411381661892,0.9443519115447998,-0.9216377977281809
"U.S. S&P 500 E-MINI FUTURES DOWN 1.48%, NASDAQ 100 FUTURES DOWN 2.5%, DOW FUTURES DOWN 0.8%",2026-06-23 16:01:47,0.007838769815862179,0.9660237431526184,-0.9581849733367562
CBOE VOLATILITY INDEX HITS OVER ONE-WEEK HIGH; LAST UP 3.03 POINTS AT 20.31,2026-06-23 16:04:04,0.9233010411262512,0.03778659924864769,0.8855144418776035
RUSSELL 2000 FUTURES DOWN 1.7%,2026-06-23 16:04:19,0.009437371045351028,0.9676017761230469,-0.9581644050776958
"U.S. S&P 500 E-MINI FUTURES FLAT, NASDAQ 100 FUTURES ADD 0.36%, DOW FUTURES DOWN 0.18%",2026-06-24 16:00:50,0.013365416787564754,0.9632337093353271,-0.9498682925477624
"U.S. S&P 500 E-MINI FUTURES UP 0.6%, NASDAQ 100 FUTURES UP 2%, DOW FUTURES FLAT Nasdaq, S&P end lower as tech stocks fall US STOCKS",2026-06-25 13:43:02,0.041932981461286545,0.9272180199623108,-0.8852850385010242
"Nasdaq futures jump 2% as Micron, Qualcomm forecasts relieve investors US STOCKS",2026-06-25 15:28:03,0.787589967250824,0.1345483511686325,0.6530416160821915
"U.S. S&P 500 E-MINI FUTURES UP 0.78%, NASDAQ 100 FUTURES GAIN 2.24%, DOW FUTURES ADD 0.11%",2026-06-25 16:00:51,0.7924437522888184,0.08420838415622711,0.7082353681325912
"U.S. S&P 500 E-MINI FUTURES DOWN 0.2%, NASDAQ 100 FUTURES DOWN 0.7%, DOW FUTURES UP 0.2% NASDAQ .IXIC UNOFFICIALLY CLOSES DOWN 118.03 POINTS, OR 0.46 PERCENT, AT 25,358.60",2026-06-26 16:00:19,0.007865090854465961,0.9677641987800598,-0.9598991079255939
"US S&P 500 E-MINI FUTURES UP 0.07%, DOW FUTURES UP 0.04%, NASDAQ 100 FUTURES UP 0.22%",2026-06-30 16:09:10,0.8446747660636902,0.06738261133432388,0.7772921547293663
"US S&P 500 E-MINI FUTURES DOWN 0.36%, DOW FUTURES DOWN 0.35%, NASDAQ 100 FUTURES DOWN 0.54%",2026-07-01 16:01:10,0.0077207195572555065,0.9662273526191711,-0.9585066330619156
"US S&P 500 E-MINI FUTURES DOWN 0.21%, DOW FUTURES DOWN 0.1%, NASDAQ 100 FUTURES DOWN 0.76%",2026-07-02 16:01:38,0.007894574664533138,0.9668499827384949,-0.9589554080739617
"U.S. S&P 500 E-MINI FUTURES UP 0.5%, NASDAQ 100 FUTURES UP 1%, DOW FUTURES UP 0.2%",2026-07-06 16:01:58,0.8461567163467407,0.05897082760930061,0.7871858887374401
"U.S. S&P 500 E-MINI FUTURES DOWN 0.3%, NASDAQ 100 FUTURES DOWN 1%, DOW FUTURES UP 0.1%",2026-07-07 16:00:35,0.009435955435037613,0.9649884700775146,-0.955552514642477
